id,audit_trail,cap_group,cap_info,cap_order,description,entity_type,is_active,is_api,is_console,is_immutable,name,extra_info,created_at,created_by,modified_at,modified_by,deleted_at,deleted_by
13,"{""checked"": false}",Download,Download Checker Get handles download checker get operations,,Download Checker Get,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,down_c_get,,,,,,,
14,"{""checked"": false}",Download,Download Checker Approve handles download checker approve operations,,Download Checker Approve,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,down_c_approve,,,,,,,
15,"{""checked"": false}",Download,Download Checker Reject handles download checker reject operations,,Download Checker Reject,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,down_c_reject,,,,,,,
16,"{""checked"": false}",Download,Auto Download List handles auto download list operations,,Auto Download List,"{MI,KRA}",TRUE,FALSE,FALSE,TRUE,auto_down_list,,,,,,,
17,"{""checked"": false}",Registration,Registration Viewer List handles registration Viewer list operations,,Registration Viewer List,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,reg_v_list,,,,,,,
18,"{""checked"": false}",Registration,Registration Viewer Get handles registration Viewer get operations,,Registration Viewer Get,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,reg_v_get,,,,,,,
19,"{""checked"": false}",Registration,Registration Maker List handles registration maker list operations,,Registration Maker List,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,reg_m_list,,,,,,,
20,"{""checked"": false}",Registration,Registration Maker Get handles registration maker get operations,,Registration Maker Get,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,reg_m_get,,,,,,,
21,"{""checked"": false}",Registration,Registration Maker Draft handles registration maker draft operations,,Registration Maker Draft,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,reg_m_draft,,,,,,,
22,"{""checked"": false}",Registration,Registration Maker Add handles registration maker add operations,,Registration Maker Add,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,reg_m_add,,,,,,,
23,"{""checked"": false}",Registration,Registration Maker Edit handles registration maker edit operations,,Registration Maker Edit,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,reg_m_edit,,,,,,,
24,"{""checked"": false}",Registration,Registration Maker Delete handles registration maker delete operations,,Registration Maker Delete,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,reg_m_discard,,,,,,,
25,"{""checked"": false}",Registration,Registration Maker Bulk Upload handles registration maker bulk upload operations,,Registration Maker Bulk Upload,"{MI,KRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,reg_m_bulk_upload,,,,,,,
26,"{""checked"": false}",Registration,Registration Checker List handles registration checker list operations,,Registration Checker List,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,reg_c_list,,,,,,,
27,"{""checked"": false}",Registration,Registration Checker Get handles registration checker get operations,,Registration Checker Get,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,reg_c_get,,,,,,,
28,"{""checked"": false}",Registration,Registration Checker Update handles registration checker update operations,,Registration Checker Update,"{MI,KRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,reg_c_update,,,,,,,
29,"{""checked"": false}",Registration,Registration Checker Delete handles registration checker delete operations,,Registration Chceker Delete,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,reg_c_discard,,,,,,,
30,"{""checked"": false}",Registration,Registration Checker Approve handles registration checker approve operations,,Registration Checker Approve,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,reg_c_approve,,,,,,,
31,"{""checked"": false}",Registration,Registration Checker Reject handles registration checker reject operations,,Registration Checker Reject,"{MI,KRA,OKRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,reg_c_reject,,,,,,,
32,"{""checked"": false}",Registration,Registration Checker Bulk Approve handles registration checker bulk approve operations,,Registration Checker Bulk Approve,"{MI,KRA,RTA,MII}",TRUE,FALSE,FALSE,TRUE,reg_c_bulk_approve,,,,,,,
